City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,49.66,76,40,17.27,AR,1645158245
Kaitangata,-46.2817,169.8464,68.94,62,43,4.41,NZ,1645158246
Saint-Philippe,-21.3585,55.7679,83.75,79,87,13.96,RE,1645158246
Ternate,0.8,127.4,82.76,72,88,4.41,ID,1645158247
Atuona,-9.8,-139.0333,79.0,74,7,18.9,PF,1645158247
Broken Hill,-31.95,141.4333,76.71,29,0,14.97,AU,1645158248
Rikitea,-23.1203,-134.9692,78.4,71,5,7.43,PF,1645158248
Longyearbyen,78.2186,15.6401,10.24,67,0,16.11,SJ,1645158071
Cidreira,-30.1811,-50.2056,72.3,85,25,9.31,BR,1645158249
Riyadh,24.6877,46.7219,53.74,34,13,11.65,SA,1645158249
Cape Town,-33.9258,18.4232,65.26,74,0,9.22,ZA,1645157990
Tarko-Sale,64.9225,77.785,10.92,96,97,9.44,RU,1645158250
Cedar City,37.6775,-113.0619,32.4,58,0,4.61,US,1645158129
Pāthardih,23.6667,86.4333,73.0,27,0,2.89,IN,1645158251
Albany,42.6001,-73.9662,57.15,93,100,3.0,US,1645157534
Havøysund,70.9963,24.6622,29.28,70,100,28.41,NO,1645158251
Cazzago San Martino,45.5938,10.0419,44.01,70,1,4.65,IT,1645158252
Laguna,38.421,-121.4238,57.31,63,0,3.44,US,1645158252
Okha,53.5739,142.9478,18.95,92,100,14.61,RU,1645158253
Saint Paul Harbor,57.79,-152.4072,44.11,76,100,8.05,US,1645157675
Nanortalik,60.1432,-45.2371,16.9,53,100,7.63,GL,1645158153
Tuatapere,-46.1333,167.6833,71.82,47,100,11.54,NZ,1645158152
Los Llanos de Aridane,28.6585,-17.9182,58.75,55,75,5.99,ES,1645158253
Bredasdorp,-34.5322,20.0403,64.27,80,15,11.88,ZA,1645158254
Paranaguá,-25.52,-48.5092,70.77,97,69,1.61,BR,1645158255
Ayacucho,-13.1583,-74.2239,53.56,86,86,1.34,PE,1645158256
Bani Walid,31.7566,13.9942,53.26,83,95,10.71,LY,1645158257
Lebu,-37.6167,-73.65,56.64,81,0,16.55,CL,1645158257
Burnie,-41.0667,145.9167,65.95,38,39,13.35,AU,1645158258
Jamestown,42.097,-79.2353,32.18,59,100,16.11,US,1645157662
Severo-Kuril'sk,50.6789,156.125,30.67,85,100,19.62,RU,1645158057
Burgeo,47.6167,-57.6152,38.84,97,100,29.77,CA,1645158259
Castro,-24.7911,-50.0119,57.33,99,19,6.26,BR,1645158260
Yar-Sale,66.8333,70.8333,1.44,98,82,5.77,RU,1645158260
Norman Wells,65.282,-126.8329,-9.36,64,75,12.66,CA,1645158261
Hithadhoo,-0.6,73.0833,82.54,68,95,14.25,MV,1645158261
Robertsport,6.7533,-11.3686,79.0,82,35,5.7,LR,1645158262
Bluff,-46.6,168.3333,71.8,49,100,14.45,NZ,1645158263
Prome,18.8167,95.2167,87.21,16,29,6.33,MM,1645158263
Hermanus,-34.4187,19.2345,64.8,82,6,14.32,ZA,1645158264
Chumikan,54.7183,135.315,10.85,87,100,10.96,RU,1645158264
Haukipudas,65.1765,25.3523,25.14,93,100,12.82,FI,1645158265
Punta Arenas,-53.15,-70.9167,51.91,82,75,5.75,CL,1645158265
Homer,59.6425,-151.5483,42.8,77,100,11.01,US,1645158266
Mahébourg,-20.4081,57.7,81.25,78,75,17.27,MU,1645158266
Port Elizabeth,-33.918,25.5701,57.09,100,0,3.44,ZA,1645157927
Mabaruma,8.2,-59.7833,69.78,98,38,1.39,GY,1645158267
Kavieng,-2.5744,150.7967,84.4,72,95,8.75,PG,1645158145
Eucaliptus,-17.5833,-67.5167,49.96,71,94,8.05,BO,1645158268
Bahía Blanca,-38.7196,-62.2724,62.89,44,0,10.58,AR,1645157576
